gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,ao,at,ceq,dltt,intan,ivaeq,ivao,lct,lo,lt,mibn,ppent,pstk,teq,txditc,costat,plot_act,plot_ppent,plot_ivaeq,plot_ivao,plot_intan,plot_ao,plot_lct,plot_txditc,plot_lo,plot_dltt,plot_ceq,plot_pstk,plot_mibn
6066,2020-12-31,2020,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,39165.0,20932.0,155971.0,20597.0,57929.0,73413.0,172.0,7563.0,39869.0,31974.0,135244.0,130.0,14726.0,0.0,20727.0,5472.0,A,0.25110437196658353,0.09441498740150413,0.0011027691045130184,0.04848978335716255,0.47068365273031526,0.13420443543992153,0.25561803155714846,0.035083444999390916,0.20499964737034448,0.37140878753101536,0.13205660026543395,0.0,0.0008334882766668163
6066,2021-12-31,2021,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,29539.0,19579.0,132001.0,18901.0,47379.0,68155.0,159.0,5653.0,33619.0,28051.0,113005.0,95.0,8916.0,0.0,18996.0,3956.0,A,0.22377860773782016,0.06754494284134212,0.0012045363292702328,0.04282543314065802,0.5163218460466209,0.1483246339042886,0.2546874644889054,0.029969469928258118,0.21250596586389497,0.3589290990219771,0.14318830917947592,0.0,0.0007196915174885038
6066,2022-12-31,2022,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,29118.0,16802.0,127243.0,21944.0,48379.0,67132.0,142.0,5837.0,31505.0,23046.0,105222.0,77.0,8212.0,0.0,22021.0,2292.0,A,0.22883773567111748,0.06453793135968187,0.001115974945576574,0.04587285744598917,0.5275889439890603,0.13204655658857462,0.24759711732668988,0.0180127786990247,0.18111801827998397,0.38020952036654276,0.17245742398403055,0.0,0.0006051413437281422
6266,2010-12-31,2010,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,47307.0,9038.0,102908.0,56579.0,9156.0,32010.0,0.0,0.0,23072.0,12654.0,46329.0,0.0,14553.0,0.0,56579.0,1447.0,A,0.45970186963112686,0.1414175768647724,0.0,0.0,0.31105453414700507,0.08782601935709566,0.22420025653982198,0.0140611031212345,0.12296420103393323,0.08897267462199246,0.5498017646830179,0.0,0.0
6266,2011-12-31,2011,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,54316.0,10313.0,113644.0,57080.0,12969.0,34276.0,0.0,0.0,22811.0,18984.0,56564.0,0.0,14739.0,0.0,57080.0,1800.0,A,0.47794868184857975,0.12969448453063953,0.0,0.0,0.3016085319066559,0.0907483017141248,0.20072331139347435,0.0158389356235261,0.16704797437612193,0.11411953116750555,0.5022702474393721,0.0,0.0
6266,2012-12-31,2012,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,46116.0,7958.0,121347.0,64826.0,11489.0,51176.0,0.0,0.0,24262.0,17634.0,56521.0,0.0,16097.0,0.0,64826.0,3136.0,A,0.3800341170362679,0.13265264077397876,0.0,0.0,0.42173271691924813,0.06558052527050524,0.19993901785787865,0.025843242931428055,0.14531879650918442,0.094678896058411,0.5342200466430979,0.0,0.0
6266,2013-12-31,2013,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,56407.0,8488.0,132683.0,74053.0,13328.0,50745.0,0.0,333.0,25675.0,15638.0,58630.0,0.0,16710.0,0.0,74053.0,3989.0,A,0.42512605232019174,0.1259392687834915,0.0,0.002509741263010333,0.3824529140884665,0.06397202354483995,0.19350632711048138,0.03006413783227693,0.1178598614743411,0.10044994460480997,0.5581197289780906,0.0,0.0
6266,2014-12-31,2014,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,59311.0,5949.0,131119.0,69752.0,15122.0,49054.0,0.0,679.0,25085.0,18006.0,61367.0,0.0,16126.0,0.0,69752.0,3154.0,A,0.4523448165406997,0.12298751515798625,0.0,0.0051785019714915455,0.3741181674661948,0.0453709988636277,0.1913147598746177,0.024054484857267064,0.13732563549142382,0.11533034876715045,0.5319747710095409,0.0,0.0
6266,2015-12-31,2015,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,60210.0,8409.0,133411.0,71150.0,12857.0,47393.0,0.0,1494.0,27747.0,19095.0,62261.0,0.0,15905.0,0.0,71150.0,2562.0,A,0.45131211069551985,0.11921805548268134,0.0,0.011198476887213198,0.35524057236659645,0.06303078456798915,0.20798135086312222,0.01920381377847404,0.14312912728335744,0.09637136368065602,0.5333143443943903,0.0,0.0
6266,2016-12-31,2016,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,65032.0,9706.0,141208.0,70418.0,22442.0,49681.0,0.0,877.0,26287.0,19151.0,70790.0,0.0,15912.0,0.0,70418.0,2910.0,A,0.4605404792929579,0.1126848337204691,0.0,0.006210696277831284,0.35182850829981305,0.06873548240892867,0.18615800804486998,0.020607897569542802,0.1356226276131664,0.15892867259645346,0.4986827941759674,0.0,0.0
