gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,ao,at,ceq,dltt,intan,ivaeq,ivao,lct,lo,lt,mibn,ppent,pstk,teq,txditc,costat
002136,2019-12-31,2019,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,37473.0000,3875.0000,291727.0000,61395.0000,119105.0000,128946.0000,558.0000,6266.0000,44868.0000,30216.0000,228892.0000,1440.0000,114609.0000,0.0000,62835.0000,34703.0000,A
002136,2020-12-31,2020,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,54594.0000,8023.0000,316481.0000,67842.0000,141173.0000,130283.0000,187.0000,6030.0000,39660.0000,30665.0000,247209.0000,1430.0000,117364.0000,0.0000,69272.0000,35711.0000,A
002136,2021-12-31,2021,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,36728.0000,5340.0000,366596.0000,81790.0000,166628.0000,187899.0000,253.0000,8797.0000,47160.0000,28923.0000,283396.0000,1410.0000,127579.0000,0.0000,83200.0000,40685.0000,A
002136,2022-12-31,2022,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,37857.0000,4805.0000,379680.0000,91144.0000,162234.0000,189928.0000,267.0000,13259.0000,50171.0000,31371.0000,287217.0000,1319.0000,133564.0000,0.0000,92463.0000,43441.0000,A
002285,2010-12-31,2010,INDL,C,D,STD,BA,BOEING CO,USD,40572.0000,5640.0000,68565.0000,2766.0000,11473.0000,7916.0000,1072.0000,4434.0000,35395.0000,18835.0000,65703.0000,96.0000,8931.0000,0.0000,2862.0000,0.0000,A
002285,2011-12-31,2011,INDL,C,D,STD,BA,BOEING CO,USD,49810.0000,7179.0000,79986.0000,3515.0000,10018.0000,7989.0000,1003.0000,4692.0000,41274.0000,25086.0000,76378.0000,93.0000,9313.0000,0.0000,3608.0000,0.0000,A
002285,2012-12-31,2012,INDL,C,D,STD,BA,BOEING CO,USD,57309.0000,8189.0000,88896.0000,5867.0000,8973.0000,8146.0000,1137.0000,4455.0000,44982.0000,28974.0000,82929.0000,100.0000,9660.0000,0.0000,5967.0000,0.0000,A
002285,2013-12-31,2013,INDL,C,D,STD,BA,BOEING CO,USD,65074.0000,4083.0000,92663.0000,14875.0000,8072.0000,8095.0000,1164.0000,4023.0000,51486.0000,18108.0000,77666.0000,122.0000,10224.0000,0.0000,14997.0000,0.0000,A
002285,2014-12-31,2014,INDL,C,D,STD,BA,BOEING CO,USD,67785.0000,7537.0000,99198.0000,8665.0000,8141.0000,7988.0000,1114.0000,3767.0000,56717.0000,25550.0000,90408.0000,125.0000,11007.0000,0.0000,8790.0000,0.0000,A
002285,2015-12-31,2015,INDL,C,D,STD,BA,BOEING CO,USD,68234.0000,1177.0000,94408.0000,6335.0000,8730.0000,7783.0000,1230.0000,3908.0000,50412.0000,26477.0000,88011.0000,62.0000,12076.0000,0.0000,6397.0000,2392.0000,A
002285,2016-12-31,2016,INDL,C,D,STD,BA,BOEING CO,USD,62488.0000,1249.0000,89997.0000,817.0000,9568.0000,7864.0000,1242.0000,4347.0000,50134.0000,28080.0000,89120.0000,60.0000,12807.0000,0.0000,877.0000,1338.0000,A
002285,2017-12-31,2017,INDL,C,D,STD,BA,BOEING CO,USD,65161.0000,1875.0000,92333.0000,355.0000,9782.0000,8132.0000,1214.0000,3279.0000,56269.0000,24031.0000,91921.0000,57.0000,12672.0000,0.0000,412.0000,1839.0000,A
002285,2018-12-31,2018,INDL,C,D,STD,BA,BOEING CO,USD,87830.0000,1866.0000,117359.0000,339.0000,10657.0000,11269.0000,1048.0000,2701.0000,81590.0000,22966.0000,116949.0000,71.0000,12645.0000,0.0000,410.0000,1736.0000,A
002285,2019-12-31,2019,INDL,C,D,STD,BA,BOEING CO,USD,102229.0000,2842.0000,133625.0000,-8617.0000,20940.0000,11398.0000,1031.0000,2441.0000,97312.0000,23260.0000,141925.0000,317.0000,13684.0000,0.0000,-8300.0000,413.0000,A
002285,2020-12-31,2020,INDL,C,D,STD,BA,BOEING CO,USD,121642.0000,3546.0000,152136.0000,-18316.0000,62974.0000,10924.0000,936.0000,2016.0000,87280.0000,18947.0000,170211.0000,241.0000,13072.0000,0.0000,-18075.0000,1010.0000,A
002285,2021-12-31,2021,INDL,C,D,STD,BA,BOEING CO,USD,108666.0000,4231.0000,138552.0000,-14999.0000,58077.0000,10630.0000,930.0000,1740.0000,81992.0000,13111.0000,153398.0000,153.0000,12355.0000,0.0000,-14846.0000,218.0000,A
002285,2022-12-31,2022,INDL,C,D,STD,BA,BOEING CO,USD,109523.0000,2775.0000,137100.0000,-15883.0000,53116.0000,10368.0000,948.0000,1485.0000,90052.0000,9550.0000,152948.0000,35.0000,12001.0000,0.0000,-15848.0000,230.0000,A
003144,2010-12-31,2010,INDL,C,D,STD,KO,COCA-COLA CO,USD,21579.0000,2121.0000,72921.0000,31003.0000,14041.0000,26909.0000,6954.0000,631.0000,18508.0000,4794.0000,41604.0000,314.0000,14727.0000,0.0000,31317.0000,4261.0000,A
003144,2011-12-31,2011,INDL,C,D,STD,KO,COCA-COLA CO,USD,25497.0000,3012.0000,79974.0000,31635.0000,13656.0000,27669.0000,7233.0000,1624.0000,24283.0000,5420.0000,48053.0000,286.0000,14939.0000,0.0000,31921.0000,4694.0000,A
003144,2012-12-31,2012,INDL,C,D,STD,KO,COCA-COLA CO,USD,30328.0000,2914.0000,86174.0000,32790.0000,14736.0000,27337.0000,9216.0000,1903.0000,27821.0000,5468.0000,53006.0000,378.0000,14476.0000,0.0000,33168.0000,4981.0000,A
003144,2013-12-31,2013,INDL,C,D,STD,KO,COCA-COLA CO,USD,31304.0000,3797.0000,90055.0000,33173.0000,19154.0000,27611.0000,10393.0000,1983.0000,27811.0000,3498.0000,56615.0000,267.0000,14967.0000,0.0000,33440.0000,6152.0000,A
